ensayo;replica;cepa;parasitos
1;1;RH;352
1;2;RH;410
1;3;RH;548
2;4;RH;351
2;5;RH;635
2;6;RH;791
3;7;RH;1013
3;8;RH;1229
3;9;RH;1345
4;1;ME49;1784
4;2;ME49;1859
4;3;ME49;1663
5;4;ME49;1354
5;5;ME49;861
5;6;ME49;1054
6;7;ME49;1397
6;8;ME49;1205
6;9;ME49;883
7;1;VEG;1445
7;2;VEG;1401
7;3;VEG;1025
8;4;VEG;718
8;5;VEG;707
8;6;VEG;548
9;7;VEG;697
9;8;VEG;546
9;9;VEG;630
10;1;TgMr;502
10;2;TgMr;366
10;3;TgMr;628
11;4;TgMr;432
11;5;TgMr;397
11;6;TgMr;639
12;7;TgMr;224
12;8;TgMr;627
12;9;TgMr;289
13;1;TgSb;1359
13;2;TgSb;1008
13;3;TgSb;1342
14;4;TgSb;929
14;5;TgSb;1243
14;6;TgSb;768
15;7;TgSb;530
15;8;TgSb;638
15;9;TgSb;963
